,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variable,,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,,,,
scenario,,Baseline,Baseline,Baseline,Baseline,Baseline,Consumer Transformation,Consumer Transformation,Consumer Transformation,Consumer Transformation,Consumer Transformation,System Transformation,System Transformation,System Transformation,System Transformation,System Transformation,Leading the Way,Leading the Way,Leading the Way,Leading the Way,Leading the Way,Consumer Transformation,Consumer Transformation,Consumer Transformation,Consumer Transformation,Consumer Transformation,System Transformation,System Transformation,System Transformation,System Transformation,System Transformation,Leading the Way,Leading the Way,Leading the Way,Leading the Way,Leading the Way,,,,
year,,2020,2020,2020,2020,2020,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,,,,
sector,,Domestic,Domestic,Domestic,Domestic,Domestic,Domestic,Domestic,Domestic,Domestic,Domestic,Domestic,Domestic,Domestic,Domestic,Domestic,Domestic,Domestic,Domestic,Domestic,Domestic,Domestic,Domestic,Domestic,Domestic,Domestic,Domestic,Domestic,Domestic,Domestic,Domestic,Domestic,Domestic,Domestic,Domestic,Domestic,,,,
Annual heating bill band,,£0 - £500,£500 - £1000,£1000 - £1500,£1500 - £2000,>£2000,£0 - £500,£500 - £1000,£1000 - £1500,£1500 - £2000,>£2000,£0 - £500,£500 - £1000,£1000 - £1500,£1500 - £2000,>£2000,£0 - £500,£500 - £1000,£1000 - £1500,£1500 - £2000,>£2000,£0 - £500,£500 - £1000,£1000 - £1500,£1500 - £2000,>£2000,£0 - £500,£500 - £1000,£1000 - £1500,£1500 - £2000,>£2000,£0 - £500,£500 - £1000,£1000 - £1500,£1500 - £2000,>£2000,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LSOA,Number housholds in LSOA,Fraction_households_in_fuel_bandBaseline2020Domestic£0 - £500,Fraction_households_in_fuel_bandBaseline2020Domestic£500 - £1000,Fraction_households_in_fuel_bandBaseline2020Domestic£1000 - £1500,Fraction_households_in_fuel_bandBaseline2020Domestic£1500 - £2000,Fraction_households_in_fuel_bandBaseline2020Domestic>£2000,Fraction_households_in_fuel_bandConsumer Transformation2030Domestic£0 - £500,Fraction_households_in_fuel_bandConsumer Transformation2030Domestic£500 - £1000,Fraction_households_in_fuel_bandConsumer Transformation2030Domestic£1000 - £1500,Fraction_households_in_fuel_bandConsumer Transformation2030Domestic£1500 - £2000,Fraction_households_in_fuel_bandConsumer Transformation2030Domestic>£2000,Fraction_households_in_fuel_bandSystem Transformation2030Domestic£0 - £500,Fraction_households_in_fuel_bandSystem Transformation2030Domestic£500 - £1000,Fraction_households_in_fuel_bandSystem Transformation2030Domestic£1000 - £1500,Fraction_households_in_fuel_bandSystem Transformation2030Domestic£1500 - £2000,Fraction_households_in_fuel_bandSystem Transformation2030Domestic>£2000,Fraction_households_in_fuel_bandLeading the Way2030Domestic£0 - £500,Fraction_households_in_fuel_bandLeading the Way2030Domestic£500 - £1000,Fraction_households_in_fuel_bandLeading the Way2030Domestic£1000 - £1500,Fraction_households_in_fuel_bandLeading the Way2030Domestic£1500 - £2000,Fraction_households_in_fuel_bandLeading the Way2030Domestic>£2000,Fraction_households_in_fuel_bandConsumer Transformation2050Domestic£0 - £500,Fraction_households_in_fuel_bandConsumer Transformation2050Domestic£500 - £1000,Fraction_households_in_fuel_bandConsumer Transformation2050Domestic£1000 - £1500,Fraction_households_in_fuel_bandConsumer Transformation2050Domestic£1500 - £2000,Fraction_households_in_fuel_bandConsumer Transformation2050Domestic>£2000,Fraction_households_in_fuel_bandSystem Transformation2050Domestic£0 - £500,Fraction_households_in_fuel_bandSystem Transformation2050Domestic£500 - £1000,Fraction_households_in_fuel_bandSystem Transformation2050Domestic£1000 - £1500,Fraction_households_in_fuel_bandSystem Transformation2050Domestic£1500 - £2000,Fraction_households_in_fuel_bandSystem Transformation2050Domestic>£2000,Fraction_households_in_fuel_bandLeading the Way2050Domestic£0 - £500,Fraction_households_in_fuel_bandLeading the Way2050Domestic£500 - £1000,Fraction_households_in_fuel_bandLeading the Way2050Domestic£1000 - £1500,Fraction_households_in_fuel_bandLeading the Way2050Domestic£1500 - £2000,Fraction_households_in_fuel_bandLeading the Way2050Domestic>£2000,LAD20NM,CTYUA19NM,LEP20NM,Licence area
E01000001,1056,24.39%,7.09%,29.37%,21.06%,18.10%,24.40%,27.03%,23.31%,18.30%,6.95%,23.94%,23.46%,21.77%,17.01%,13.82%,14.69%,30.13%,29.23%,23.05%,2.90%,52.54%,28.41%,9.26%,5.24%,4.55%,52.11%,26.24%,11.57%,5.33%,4.75%,46.18%,32.64%,10.26%,5.79%,5.13%,City of London,City of London,London,LPN
E01000002,1155,29.87%,5.69%,25.41%,17.90%,21.13%,29.87%,22.02%,21.44%,19.59%,7.07%,29.73%,18.91%,18.76%,17.18%,15.42%,11.85%,27.26%,30.13%,26.83%,3.93%,52.73%,29.37%,8.97%,4.92%,4.01%,46.76%,30.53%,12.40%,5.72%,4.59%,40.07%,37.61%,11.16%,6.12%,5.04%,City of London,City of London,London,LPN
E01000003,1182,31.28%,14.32%,25.88%,17.84%,10.68%,31.36%,31.41%,21.46%,10.77%,5.02%,29.80%,29.43%,20.46%,13.33%,6.97%,27.22%,33.12%,24.64%,12.58%,2.44%,56.44%,26.49%,8.87%,4.57%,3.63%,55.68%,25.10%,10.86%,4.60%,3.77%,53.55%,29.22%,8.67%,4.71%,3.84%,City of London,City of London,London,LPN
E01000005,563,44.83%,13.15%,21.84%,12.26%,7.92%,45.06%,30.41%,15.54%,7.37%,1.63%,44.61%,29.00%,13.63%,9.93%,2.84%,41.52%,32.27%,17.01%,8.08%,1.12%,70.11%,18.65%,6.00%,2.55%,2.68%,68.99%,18.73%,6.85%,2.58%,2.84%,68.06%,21.52%,4.87%,2.71%,2.84%,City of London,City of London,London,LPN
