,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variable,,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,Fraction_households_in_fuel_band,,,,
scenario,,Baseline,Baseline,Baseline,Baseline,Baseline,Consumer Transformation,Consumer Transformation,Consumer Transformation,Consumer Transformation,Consumer Transformation,System Transformation,System Transformation,System Transformation,System Transformation,System Transformation,Leading the Way,Leading the Way,Leading the Way,Leading the Way,Leading the Way,Consumer Transformation,Consumer Transformation,Consumer Transformation,Consumer Transformation,Consumer Transformation,System Transformation,System Transformation,System Transformation,System Transformation,System Transformation,Leading the Way,Leading the Way,Leading the Way,Leading the Way,Leading the Way,,,,
year,,2020,2020,2020,2020,2020,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,,,,
sector,,Domestic,Domestic,Domestic,Domestic,Domestic,Domestic,Domestic,Domestic,Domestic,Domestic,Domestic,Domestic,Domestic,Domestic,Domestic,Domestic,Domestic,Domestic,Domestic,Domestic,Domestic,Domestic,Domestic,Domestic,Domestic,Domestic,Domestic,Domestic,Domestic,Domestic,Domestic,Domestic,Domestic,Domestic,Domestic,,,,
Annual heating bill band,,£0 - £500,£500 - £1000,£1000 - £1500,£1500 - £2000,>£2000,£0 - £500,£500 - £1000,£1000 - £1500,£1500 - £2000,>£2000,£0 - £500,£500 - £1000,£1000 - £1500,£1500 - £2000,>£2000,£0 - £500,£500 - £1000,£1000 - £1500,£1500 - £2000,>£2000,£0 - £500,£500 - £1000,£1000 - £1500,£1500 - £2000,>£2000,£0 - £500,£500 - £1000,£1000 - £1500,£1500 - £2000,>£2000,£0 - £500,£500 - £1000,£1000 - £1500,£1500 - £2000,>£2000,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LSOA,Number of fuel poor households (non-integer),Fraction_households_in_fuel_bandBaseline2020Domestic£0 - £500,Fraction_households_in_fuel_bandBaseline2020Domestic£500 - £1000,Fraction_households_in_fuel_bandBaseline2020Domestic£1000 - £1500,Fraction_households_in_fuel_bandBaseline2020Domestic£1500 - £2000,Fraction_households_in_fuel_bandBaseline2020Domestic>£2000,Fraction_households_in_fuel_bandConsumer Transformation2030Domestic£0 - £500,Fraction_households_in_fuel_bandConsumer Transformation2030Domestic£500 - £1000,Fraction_households_in_fuel_bandConsumer Transformation2030Domestic£1000 - £1500,Fraction_households_in_fuel_bandConsumer Transformation2030Domestic£1500 - £2000,Fraction_households_in_fuel_bandConsumer Transformation2030Domestic>£2000,Fraction_households_in_fuel_bandSystem Transformation2030Domestic£0 - £500,Fraction_households_in_fuel_bandSystem Transformation2030Domestic£500 - £1000,Fraction_households_in_fuel_bandSystem Transformation2030Domestic£1000 - £1500,Fraction_households_in_fuel_bandSystem Transformation2030Domestic£1500 - £2000,Fraction_households_in_fuel_bandSystem Transformation2030Domestic>£2000,Fraction_households_in_fuel_bandLeading the Way2030Domestic£0 - £500,Fraction_households_in_fuel_bandLeading the Way2030Domestic£500 - £1000,Fraction_households_in_fuel_bandLeading the Way2030Domestic£1000 - £1500,Fraction_households_in_fuel_bandLeading the Way2030Domestic£1500 - £2000,Fraction_households_in_fuel_bandLeading the Way2030Domestic>£2000,Fraction_households_in_fuel_bandConsumer Transformation2050Domestic£0 - £500,Fraction_households_in_fuel_bandConsumer Transformation2050Domestic£500 - £1000,Fraction_households_in_fuel_bandConsumer Transformation2050Domestic£1000 - £1500,Fraction_households_in_fuel_bandConsumer Transformation2050Domestic£1500 - £2000,Fraction_households_in_fuel_bandConsumer Transformation2050Domestic>£2000,Fraction_households_in_fuel_bandSystem Transformation2050Domestic£0 - £500,Fraction_households_in_fuel_bandSystem Transformation2050Domestic£500 - £1000,Fraction_households_in_fuel_bandSystem Transformation2050Domestic£1000 - £1500,Fraction_households_in_fuel_bandSystem Transformation2050Domestic£1500 - £2000,Fraction_households_in_fuel_bandSystem Transformation2050Domestic>£2000,Fraction_households_in_fuel_bandLeading the Way2050Domestic£0 - £500,Fraction_households_in_fuel_bandLeading the Way2050Domestic£500 - £1000,Fraction_households_in_fuel_bandLeading the Way2050Domestic£1000 - £1500,Fraction_households_in_fuel_bandLeading the Way2050Domestic£1500 - £2000,Fraction_households_in_fuel_bandLeading the Way2050Domestic>£2000,LAD20NM,CTYUA19NM,LEP20NM,Licence area
E01000001,66.5,21.53%,4.51%,26.74%,22.59%,24.64%,21.56%,25.27%,25.86%,24.14%,3.17%,21.49%,21.94%,21.80%,22.01%,12.77%,12.89%,27.13%,29.66%,26.79%,3.52%,46.23%,35.24%,7.86%,4.65%,6.03%,47.49%,31.55%,9.96%,4.75%,6.25%,39.89%,39.80%,8.62%,5.00%,6.69%,City of London,City of London,London,LPN
E01000002,40.4,24.81%,3.60%,23.46%,20.17%,27.95%,24.81%,20.96%,25.06%,25.34%,3.82%,24.81%,17.96%,20.24%,22.06%,14.93%,9.96%,24.13%,31.00%,30.35%,4.57%,45.60%,36.44%,7.96%,4.59%,5.40%,42.40%,35.77%,10.63%,5.25%,5.94%,34.35%,44.28%,9.47%,5.42%,6.46%,City of London,City of London,London,LPN
E01000003,100.5,28.84%,10.48%,26.53%,21.31%,12.84%,29.00%,30.63%,25.73%,11.68%,2.97%,28.65%,28.17%,22.61%,16.01%,4.56%,25.49%,31.66%,27.53%,12.22%,3.10%,55.51%,27.66%,7.86%,4.15%,4.81%,56.08%,25.15%,9.64%,4.17%,4.96%,53.01%,30.16%,7.60%,4.20%,5.04%,City of London,City of London,London,LPN
E01000005,37.7,47.25%,7.02%,25.86%,10.33%,9.53%,47.44%,30.86%,15.69%,5.15%,0.86%,47.44%,28.85%,13.20%,8.71%,1.80%,43.68%,32.64%,17.26%,5.50%,0.92%,78.61%,15.36%,3.44%,1.00%,1.59%,78.54%,14.78%,3.96%,1.01%,1.70%,76.94%,17.36%,2.92%,1.07%,1.70%,City of London,City of London,London,LPN
